nation,fin_year,disease,prev_chd,Unnamed: 4,prev_stroke_tia,Unnamed: 6,prev_af,Unnamed: 8,prev_hf
Wales,2015/16,stroke_tia,0.020495527739220823,,,,,,
Wales,2016/17,stroke_tia,0.020724864500578987,,,,,,
Wales,2017/18,stroke_tia,0.020924904613196415,,,,,,
Wales,2018/19,stroke_tia,0.021233248794973823,,,,,,
Wales,2019/20,stroke_tia,,,,,,,
Scotland,2004/05,stroke_tia,,,,,,,
Scotland,2005/06,stroke_tia,,,,,,,
Scotland,2006/07,stroke_tia,,,,,,,
Scotland,2007/08,stroke_tia,,,,,,,
Scotland,2008/09,stroke_tia,0.02022779448117233,,,,,,
Scotland,2009/10,stroke_tia,0.02059793140815488,,,,,,
Scotland,2010/11,stroke_tia,0.02102656258236413,,,,,,
Scotland,2011/12,stroke_tia,0.02147554573920802,,,,,,
Scotland,2012/13,stroke_tia,0.021196178046803897,,,,,,
Scotland,2013/14,stroke_tia,0.02162978098780978,,,,,,
Scotland,2014/15,stroke_tia,0.021642143109875302,,,,,,
Scotland,2015/16,stroke_tia,0.022033176163154013,,,,,,
Scotland,2016/17,stroke_tia,0.0223,,,,,,
Scotland,2017/18,stroke_tia,0.022400000000000003,,,,,,
Scotland,2018/19,stroke_tia,0.022799999999999997,,,,,,
Scotland,2019/20,stroke_tia,,,,,,,
Northern Ireland,2004/05,stroke_tia,0.014143392688219,,,,,,
Northern Ireland,2005/06,stroke_tia,0.015660745796969,,,,,,
Northern Ireland,2006/07,stroke_tia,0.016191297177767003,,,,,,
Northern Ireland,2007/08,stroke_tia,0.016477133273337198,,,,,,
Northern Ireland,2008/09,stroke_tia,0.0167724336632241,,,,,,
Northern Ireland,2009/10,stroke_tia,0.017141698158663902,,,,,,
Northern Ireland,2010/11,stroke_tia,0.0175271607784231,,,,,,
Northern Ireland,2011/12,stroke_tia,0.017829417749021498,,,,,,
Northern Ireland,2012/13,stroke_tia,0.0175296359261692,,,,,,
Northern Ireland,2013/14,stroke_tia,0.0179402097110422,,,,,,
Northern Ireland,2014/15,stroke_tia,0.0181269911931743,,,,,,
Northern Ireland,2015/16,stroke_tia,0.018461683549727638,,,,,,
Northern Ireland,2016/17,stroke_tia,0.018705239615539895,,,,,,
Northern Ireland,2017/18,stroke_tia,0.01887569866065199,,,,,,
Northern Ireland,2018/19,stroke_tia,0.019253032299713625,,,,,,
Northern Ireland,2019/20,stroke_tia,0.019,,,,,,
UK,2006/07,stroke_tia,0.016597691388938768,,,,,,
UK,2007/08,stroke_tia,0.01656284768719567,,,,,,
UK,2008/09,stroke_tia,0.017073063603648894,,,,,,
UK,2009/10,stroke_tia,0.01729381480344552,,,,,,
UK,2010/11,stroke_tia,0.01764166059953071,,,,,,
UK,2011/12,stroke_tia,0.017592236999927832,,,,,,
UK,2012/13,stroke_tia,0.017509926370838858,,,,,,
UK,2013/14,stroke_tia,0.017556695863430748,,,,,,
UK,2014/15,stroke_tia,0.01756000737516066,,,,,,
UK,2015/16,stroke_tia,0.01792040550519322,,,,,,
UK,2016/17,stroke_tia,0.018052579134617153,,,,,,
UK,2017/18,stroke_tia,0.018235714339751814,,,,,,
UK,2018/19,stroke_tia,0.01842104515974196,,,,,,
UK,2019/20,stroke_tia,0.01856525006260636,,,,,,
England,2004/05,af,,,,,,,
England,2005/06,af,,,,,,,
England,2006/07,af,0.0128919494157888,,,,,,
England,2007/08,af,0.013000000000000001,,,,,,
England,2008/09,af,0.013487370619322198,,,,,,
England,2009/10,af,0.0138952003208225,,,,,,
England,2010/11,af,0.0143407489513753,,,,,,
England,2011/12,af,0.015,,,,,,
England,2012/13,af,0.015,,,,,,
England,2013/14,af,0.015164706566238835,,,,,,
England,2014/15,af,0.016,,,,,,
England,2015/16,af,0.017083447519332797,,,,,,
England,2016/17,af,0.018362651444798938,,,,,,
England,2017/18,af,0.019073153598498583,,,,,,
England,2018/19,af,0.019847675302740963,,,,,,
England,2019/20,af,0.0204,,,,,,
Wales,2004/05,af,,,,,,,
Wales,2005/06,af,,,,,,,
Wales,2006/07,af,0.016,,,,,,
Wales,2007/08,af,0.016,,,,,,
Wales,2008/09,af,0.017,,,,,,
Wales,2009/10,af,0.017,,,,,,
Wales,2010/11,af,0.017,,,,,,
Wales,2011/12,af,0.018000000000000002,,,,,,
Wales,2012/13,af,0.018000000000000002,,,,,,
Wales,2013/14,af,0.0190641844602319,,,,,,
Wales,2014/15,af,0.02,,,,,,
Wales,2015/16,af,0.020282029416707644,,,,,,
Wales,2016/17,af,0.021036696234313777,,,,,,
Wales,2017/18,af,0.022372611538886467,,,,,,
Wales,2018/19,af,0.023441358681275587,,,,,,
Wales,2019/20,af,,,,,,,
Scotland,2004/05,af,,,,,,,
Scotland,2005/06,af,,,,,,,
Scotland,2006/07,af,,,,,,,
